zip_code,zcta,zip_to_zcta_relationship,latitude,longitude
01106,01106,Zip Matches ZCTA,42.047565,-72.57113
01107,01107,Zip Matches ZCTA,42.12106,-72.607068
01108,01108,Zip Matches ZCTA,42.080692,-72.560791
01109,01109,Zip Matches ZCTA,42.119674,-72.549726
01111,01109,Spatial join to ZCTA,42.119674,-72.549726
01115,01103,Spatial join to ZCTA,42.104106,-72.592027
01116,01106,Spatial join to ZCTA,42.047565,-72.57113
01118,01118,Zip Matches ZCTA,42.094194,-72.525081
01119,01119,Zip Matches ZCTA,42.124978,-72.51121
01128,01128,Zip Matches ZCTA,42.092296,-72.489135
01129,01129,Zip Matches ZCTA,42.118671,-72.488203
01138,01108,Spatial join to ZCTA,42.080692,-72.560791
01139,01109,Spatial join to ZCTA,42.119674,-72.549726
01144,01103,Spatial join to ZCTA,42.104106,-72.592027
01151,01151,Zip Matches ZCTA,42.15186,-72.509131
01152,01151,Spatial join to ZCTA,42.15186,-72.509131
01199,01199,Zip matches ZCTA,42.120563,-72.604468
01201,01201,Zip Matches ZCTA,42.448236,-73.273727
01202,01201,Spatial join to ZCTA,42.448236,-73.273727
01203,01201,Spatial join to ZCTA,42.448236,-73.273727
01220,01220,Zip Matches ZCTA,42.623799,-73.116736
01222,01222,Zip Matches ZCTA,42.058703,-73.322175
01223,01223,Zip Matches ZCTA,42.312225,-73.110124
01224,01224,Zip matches ZCTA,42.513163,-73.195743
01225,01225,Zip Matches ZCTA,42.563401,-73.153335
01226,01226,Zip Matches ZCTA,42.481119,-73.135073
01227,01226,Spatial join to ZCTA,42.481119,-73.135073
01229,01229,Zip matches ZCTA,42.276338,-73.335896
01230,01230,Zip Matches ZCTA,42.173195,-73.32429
01235,01235,Zip Matches ZCTA,42.425677,-73.063028
01236,01236,Zip Matches ZCTA,42.266496,-73.378393
01237,01237,Zip Matches ZCTA,42.547818,-73.268033
01238,01238,Zip Matches ZCTA,42.297501,-73.230148
01240,01240,Zip Matches ZCTA,42.367858,-73.269763
01242,01242,Zip Matches ZCTA,42.333734,-73.249199
01243,01243,Zip Matches ZCTA,42.350122,-73.024112
01244,01244,Zip matches ZCTA,42.118094,-73.257497
01245,01245,Zip Matches ZCTA,42.186893,-73.223105
01247,01247,Zip Matches ZCTA,42.698526,-73.0843
01252,01230,Spatial join to ZCTA,42.173195,-73.32429
01253,01253,Zip Matches ZCTA,42.206683,-73.113214
01254,01254,Zip Matches ZCTA,42.382019,-73.365492
01255,01255,Zip Matches ZCTA,42.107496,-73.118607
01256,01256,Zip Matches ZCTA,42.594166,-73.02232
01257,01257,Zip Matches ZCTA,42.085244,-73.367483
01258,01258,Zip Matches ZCTA,42.10928,-73.462886
01259,01259,Zip Matches ZCTA,42.075469,-73.234376
01260,01260,Zip matches ZCTA,42.295696,-73.342543
01262,01262,Zip Matches ZCTA,42.292202,-73.319209
01263,01262,Spatial join to ZCTA,42.292202,-73.319209
01264,01264,Zip Matches ZCTA,42.23159,-73.202428
01266,01266,Zip Matches ZCTA,42.312354,-73.388044
01267,01267,Zip Matches ZCTA,42.671617,-73.246981
01270,01270,Zip Matches ZCTA,42.515272,-73.031166
01301,01301,Zip Matches ZCTA,42.626761,-72.60153
01302,01301,Spatial join to ZCTA,42.626761,-72.60153
01330,01330,Zip Matches ZCTA,42.513947,-72.821517
01331,01331,Zip Matches ZCTA,42.562408,-72.19108
01337,01337,Zip Matches ZCTA,42.689308,-72.582249
01338,01338,Zip Matches ZCTA,42.572604,-72.824306
01339,01339,Zip Matches ZCTA,42.603776,-72.889644
01340,01340,Zip Matches ZCTA,42.694731,-72.710956
01341,01341,Zip Matches ZCTA,42.496937,-72.709414
01342,01342,Zip Matches ZCTA,42.543889,-72.609458
01343,01343,Zip matches ZCTA,42.657625,-72.978933
01344,01344,Zip Matches ZCTA,42.613418,-72.426428
01346,01346,Zip Matches ZCTA,42.693268,-72.823116
01347,01347,Zip Matches ZCTA,42.559294,-72.518753
01349,01349,Zip Matches ZCTA,42.563061,-72.482115
01350,01350,Zip Matches ZCTA,42.727772,-72.985346
01351,01351,Zip Matches ZCTA,42.53988,-72.521689
01354,01354,Zip Matches ZCTA,42.624101,-72.508607
01355,01355,Zip Matches ZCTA,42.458551,-72.327191
01360,01360,Zip Matches ZCTA,42.677091,-72.453876
01364,01364,Zip Matches ZCTA,42.605437,-72.292074
01366,01366,Zip Matches ZCTA,42.475621,-72.192468
01367,01367,Zip Matches ZCTA,42.695532,-72.909148
01368,01368,Zip Matches ZCTA,42.679456,-72.176935
01370,01370,Zip Matches ZCTA,42.593376,-72.726927
01373,01373,Zip Matches ZCTA,42.475481,-72.615403
01375,01375,Zip Matches ZCTA,42.466691,-72.546751
01376,01376,Zip Matches ZCTA,42.59528,-72.555002
01378,01378,Zip Matches ZCTA,42.673533,-72.353213
01379,01379,Zip Matches ZCTA,42.55631,-72.407148
01380,01379,Spatial join to ZCTA,42.55631,-72.407148
01420,01420,Zip Matches ZCTA,42.584925,-71.816862
01430,01430,Zip Matches ZCTA,42.657005,-71.923442
01431,01431,Zip Matches ZCTA,42.676293,-71.832523
01432,01432,Zip Matches ZCTA,42.564663,-71.567298
01434,01434,Zip Matches ZCTA,42.538903,-71.612027
01436,01436,Zip Matches ZCTA,42.602059,-72.087015
01438,01438,Zip Matches ZCTA,42.562243,-72.031402
01440,01440,Zip Matches ZCTA,42.588337,-71.986069
01441,01440,Spatial join to ZCTA,42.588337,-71.986069
